a        阿呵啊嗬
dèng     邓凳嶝澄瞪磴镫蹬
děng     等戥
dēng     灯登噔簦蹬
dí       狄的籴迪敌涤荻笛觌嘀嫡翟镝
dì       地弟的帝娣递第谛棣睇缔蒂碲
dǐ       氐诋邸坻底抵柢砥提骶
dī       氐低羝堤提嘀滴镝
diǎ      嗲
dian     点
diàn     电佃甸阽坫店垫玷钿惦淀奠殿靛癜簟
diǎn     典点碘踮
diān     掂滇颠巅癫
diào     吊钓调掉铞铫
diǎo     鸟
diāo     刁叼凋貂碉雕鲷
dié      佚迭垤瓞谍喋堞揲耋叠牒碟蝶蹀鲽
diē      爹跌
dìng     订钉定啶铤腚碇锭
dǐng     顶酊鼎
dīng     丁仃叮玎町疔盯钉耵酊
diū      丢铥
dòng     动冻侗垌峒恫栋洞胨胴硐
dǒng     董懂
dōng     东冬咚岽氡鸫
dòu      斗豆读逗渎痘窦
dǒu      斗抖钭陡蚪
dōu      都兜蔸篼
dú       毒独读顿渎椟牍犊黩髑
dù       芏妒杜肚度渡镀蠹
dǔ       肚竺笃堵赌睹
dū       都嘟督髑
duàn     段断缎椴煅锻簖
duǎn     短
duān     端
duì      队对兑怼敦碓憝镦
duī      追堆镦
dùn      囤沌炖盾砘钝顿遁
dǔn      盹趸
dūn      吨敦墩礅镦蹲
duo      掇
duó      夺度铎踱
duò      驮剁沲垛柁堕舵隋惰跺隳
duǒ      朵哚垛缍躲
duō      多咄哆掇裰
e        呃
é        讹俄哦娥峨莪锇鹅蛾额
è        厄呃扼苊轭垩恶胺饿谔鄂阏愕萼遏腭锷鹗颚噩鳄
ě        恶
ē        阿婀屙
éi       诶
èi       诶
ěi       诶
ēi       诶
èn       摁
ēn       恩蒽
er       儿
ér       儿而鸸鲕
èr       二佴贰铒
ěr       尔耳佴迩洱饵珥铒
fá       乏伐垡罚阀筏
fà       发珐
fǎ       法砝
fā       发
fán      凡矾钒烦袢樊蕃燔繁蹯蘩
fàn      犯泛饭范贩畈梵
fǎn      反返
fān      帆拚番幡蕃翻藩
fáng     防坊妨房肪鲂
fàng     放
fǎng     仿访彷纺舫
fāng     匚方邡坊芳枋钫
féi      肥淝腓痱
fèi      发吠芾废怫沸狒肺费砩痱镄
fěi      匪诽悱菲斐榧翡蜚篚
fēi      飞妃非啡绯菲扉斐蜚霏鲱
fén      坟汾棼焚鼢
fèn      分份奋忿偾愤粪鲼瀵
fěn      粉
fēn      分吩纷芬氛玢酚
féng     冯逢缝
fèng     凤风奉俸葑缝
fěng     风讽唪
fēng     丰风沣枫封疯砜峰烽葑锋蜂酆
fó       佛
fǒu      不缶否
fú       夫弗伏凫佛孚扶芙芾宓怫拂服绂绋苻俘氟祓罘茯郛浮砩莩蚨匐桴涪符艴菔袱幅跗福蜉辐幞蝠黻
fù       父讣付妇负附咐服阜驸复赴副傅富赋缚腹鲋赙蝮鳆覆馥
fǔ       阝父呒抚甫府拊斧俯釜脯辅腑滏腐黼
fū       夫呋孚肤趺麸稃跗孵敷
gá       轧钆尜嘎噶
gà       尬
gǎ       尕嘎
gā       夹旮伽呷咖嘎
gài      丐芥钙盖溉戤概
gǎi      改
gāi      该陔垓赅
gàn      干旰绀淦赣
gǎn      杆秆赶敢感澉橄擀
gān      干甘奸杆肝坩泔矸苷柑竿疳酐乾尴
gàng     岗杠钢筻戆
gǎng     岗港
gāng     冈刚扛岗杠纲肛缸钢罡
gào      告诰郜锆膏
gǎo      杲搞缟槁稿镐藁
gāo      皋羔高槔睾膏篙糕
gé       阁革格胳鬲搁葛蛤隔颌嗝塥搿膈镉骼髂
gè       个各虼硌铬
gě       个各合哿盖舸葛
gē       戈仡圪纥疙咯哥格胳袼鸽割搁歌
gěi      给
gén      哏
gèn      亘艮茛
gěn      艮
gēn      根跟
gèng     更
gěng     哽埂绠耿梗颈鲠
gēng     更庚耕赓羹
gòng     共贡供赣
gǒng     廾共巩汞拱珙
gōng     工弓公功共红攻供肱宫恭蚣躬龚觥
gòu      勾构诟购垢够媾彀遘觏
gǒu      岣狗苟枸笱
gōu      勾句佝沟拘枸钩缑篝鞲
gú       鹘
gù       估固故顾崮梏牿雇痼锢鲴
gǔ       古汩诂谷股苦牯骨罟贾钴蛄蛊鹄毂鼓嘏鹘臌瞽
gū       估呱咕姑孤沽轱骨家鸪菇菰蛄觚辜酤毂箍
guà      卦诖挂褂
guǎ      呙呱剐寡
guā      瓜刮呱括胍栝鸹
guài     怪
guǎi     拐
guāi     乖掴
guàn     观串贯冠惯掼涫盥灌鹳罐
guǎn     莞馆斡管
guān     关观纶官冠矜倌莞涫棺鳏
guàng    桄逛
guǎng    广犷
guāng    光咣桄胱潢
guì      刽刿柜炅炔贵桂桧匮眭跪鳜
guǐ      宄轨庋匦诡癸鬼晷簋
guī      归圭妫龟规皈闺傀硅瑰鲑
gùn      棍
gǔn      丨衮绲棍辊滚磙鲧
guo      过
guó      囗国帼掴虢馘
guò      过
