a        阿呵啊嗬
qu       戌
qú       劬朐鸲渠蕖磲璩瞿蘧氍癯衢蠼
qù       去阒觑趣
qǔ       曲苣取娶龋麴
qū       区曲岖诎驱屈祛蛆躯蛐趋觑麴黢
quán     全权卷诠泉荃拳辁痊铨筌蜷醛鬈颧
quàn     劝券
quǎn     犭犬畎绻
quān     悛圈
qué      瘸
què      芍却悫雀确阕阙鹊榷
quē      炔缺阙
qún      裙群麇
qūn      逡
ran      然
rán      蚺然髯燃
rǎn      冉苒染
ráng     禳瓤穰
ràng     让
rǎng     嚷壤攘穰
rāng     嚷
ráo      娆荛饶桡
rào      绕
rǎo      扰娆
rè       热
rě       若喏惹
rén      人亻仁壬任
rèn      刃认仞任纫妊轫韧饪衽葚
rěn      忍荏稔
réng     仍
rèng     艿
rēng     扔
rì       日
róng     戎肜狨绒茸荣容嵘溶蓉榕熔蝾融
rǒng     冗
róu      柔揉糅蹂鞣
ròu      肉
rú       如茹铷儒嚅孺濡薷襦蠕颥
rù       入洳溽缛蓐褥
rǔ       女汝乳辱
ruǎn     阮朊软
ruí      蕤
ruì      兑芮枘蚋锐瑞睿
ruǐ      蕊
rùn      闰润
ruò      若偌弱箬
sa       挲
sà       卅飒脎萨
sǎ       洒撒
sā       仨撒
sài      塞赛
sāi      思塞腮噻鳃
san      散
sàn      散
sǎn      伞散糁馓
sān      三叁参毵
sang     丧
sàng     丧
sǎng     嗓搡磉颡
sāng     丧桑
sào      扫梢埽瘙燥臊
sǎo      扫埽嫂骚
sāo      搔骚缫缲臊鳋
sè       色涩啬铯塞瑟槭穑
sēn      森
sēng     僧
sha      挲
shá      啥奢
shà      沙唼厦嗄歃煞霎
shǎ      傻
shā      杀杉沙纱刹砂莎挲铩痧煞裟噎鲨
shài     晒
shǎi     色
shāi     筛酾
shàn     讪汕单姗疝苫钐剡扇掸善禅骟鄯缮嬗擅膳赡蟮鳝
shǎn     闪陕掺
shān     山彡删杉芟姗苫衫钐埏栅珊舢扇掺跚煽潸膻
shang    裳
shàng    上尚绱
shǎng    上垧晌赏
shāng    伤汤殇商觞墒熵
sháo     勺芍杓苕韶
shào     少召劭邵绍哨捎稍潲
shǎo     少
shāo     捎梢烧稍筲艄蛸鞘
shé      舌佘折蛇揲
shè      叶厍设社舍拾射涉赦慑摄滠歙麝
shě      舍
shē      奢猞赊畲
shéi     谁
shén     什甚神
shèn     肾甚胂渗葚慎椹蜃
shěn     吲沈审哂矧谂婶渖
shēn     申伸身参呻绅诜信哂娠砷莘深糁
shéng    渑绳
shèng    圣甸胜乘晟盛剩嵊
shěng    省眚
shēng    升生声牲笙甥
shi      栅匙殖
shí      十饣什石时识实拾炻蚀食埘莳硕鲥
shì      士氏礻世仕市示式似事侍势泽视试饰室峙恃拭是柿贳适耆舐莳轼逝铈弑谥释嗜筮誓噬螫
shǐ      史矢豕使始驶屎
shī      尸失师虱诗施狮湿蓍嘘酾鲺
shóu     熟
shòu     寿受狩兽售授绶瘦
shǒu     手扌守首艏
shōu     收
shú      术朱秫孰赎塾熟
shù      术戍束沭述俞树竖恕庶数腧墅漱澍
shǔ      属暑黍数署鼠蜀薯曙
shū      书殳疋抒纾叔枢姝倏殊荼梳淑菽疏舒摅毹输蔬
shuà     刷
shuǎ     耍
shuā     刷唰
shuài    帅率蟀
shuǎi    甩
shuāi    衰摔
shuàn    涮
shuān    闩拴栓
shuǎng   爽
shuāng   双泷爽霜孀
shuí     谁
shuì     说税睡
shuǐ     氵水
shùn     顺舜瞬
shǔn     吮
shuò     妁烁朔铄硕搠数蒴槊
shuō     说
si       厕
sì       巳四寺汜伺似兕姒祀泗饲驷俟食笥耜嗣肆
sǐ       死
sī       厶纟丝司糸私咝思鸶斯缌蛳厮锶嘶撕澌
sòng     讼宋诵送颂
sǒng     怂悚耸竦
sōng     忪松凇崧淞菘嵩
sòu      嗽擞
sǒu      叟嗾瞍螋擞薮
sōu      叟嗖搜溲馊飕锼艘螋
sú       俗
sù       夙苏诉肃涑素速宿粟谡嗉塑愫溯僳缩蔌觫簌
sū       苏酥稣
suàn     蒜算
suān     狻酸
sui      荽
suí      绥隋随遂
suì      岁祟谇遂碎粹隧燧穗邃
suǐ      髓
suī      尿虽荽眭隋睢濉
sǔn      损笋隼榫
sūn      孙狲荪飧
suo      嗦
suò      些
suǒ      所唢索琐锁
suō      唆娑莎挲桫梭睃嗍羧蓑缩
ta       沓遢
tà       拓沓挞闼嗒遢榻漯踏蹋
tǎ       塔獭鳎
tā       他它她趿铊塌溻踏
tái      台邰抬苔骀炱跆鲐薹
tài      大太汰态肽钛泰酞
tǎi      呔
tāi      台苔胎
tán      坛昙谈郯弹覃痰锬谭潭澹檀
tàn      叹炭探碳
tǎn      忐坦袒钽毯
tān      坍贪摊滩瘫
táng     唐堂棠塘搪溏瑭樘膛糖螗镗螳醣
tàng     汤烫铴趟
tǎng     帑倘惝淌傥耥躺
tāng     汤铴羰趟镗
táo      洮逃桃陶啕淘萄跳鼗
tào      套
tǎo      讨
tāo      叨涛绦掏焘滔韬饕
tè       忑忒特铽慝
téng     疼腾誊滕藤
tí       荑绨啼提缇鹈题蹄醍
tì       弟屉剃倜悌涕绨逖惕替棣裼嚏
tǐ       体醍
tī       体剔梯锑踢
tián     田佃甸恬畋钿甜嗔填阗
tiàn     掭
tiǎn     忝殄栝腆舔
tiān     天添
tiáo     条苕迢调笤铫龆蜩髫鲦
tiào     啁眺粜跳
tiǎo     挑窕
tiāo     条佻挑祧
tiè      帖餮
tiě      帖铁
tiē      帖贴萜
tíng     廷亭庭莛停婷葶蜓霆
tìng     梃
tǐng     町挺梃铤艇
tīng     厅汀听町烃
tóng     仝同佟彤侗垌峒茼桐砼铜童酮僮潼瞳
tòng     同恸通痛
tǒng     侗统捅桶筒
tōng     恫通嗵
tou      头
tóu      亠头投骰
tòu      透
tōu      偷愉
tú       图徒涂荼途屠菟酴
tù       吐兔堍菟
tǔ       土吐钍
tū       凸秃突
tuán     团抟揣
tuàn     彖
tuǎn     疃
tuān     湍
tuí      弟颓
tuì      退煺蜕褪
tuǐ      腿
tuī      忒推
tun      饨
tún      屯囤饨豚臀
tùn      褪
tǔn      氽
tūn      吞暾
tuó      驮佗陀坨沱沲驼柁砣铊鸵跎酡橐鼍
tuò      拓柝唾箨魄
tuǒ      妥庹椭
tuō      乇托佗拖说脱
wa       哇
wá       娃
wà       瓦袜腽
wǎ       瓦佤
wā       凹呙哇挖洼娲蛙
wài      外
wǎi      歪崴
wāi      呙歪
wán      丸纨芄完玩顽烷
wàn      万腕蔓
wǎn      宛挽晚莞婉惋绾脘菀琬皖畹碗箢
wān      弯剜湾蜿豌
wáng     亡王
wàng     王妄忘旺望
wǎng     网往枉罔惘辋魍
wāng     尢汪
wéi      囗为韦圩围帏沩违闱隹桅涠唯帷惟维嵬潍
wèi      卫为未位味畏胃軎尉谓喂渭猬遗蔚慰魏
wěi      伟伪尾纬苇委炜玮洧娓诿萎隗猥痿艉韪鲔
wēi      危委威倭偎逶隈崴葳微煨薇巍
wén      文纹玟闻蚊阌雯
wèn      问免汶纹璺
wěn      刎吻紊稳
wēn      温韫瘟
wèng     瓮蕹
wěng     蓊
wēng     翁嗡
wò       沃肟卧媪幄握渥硪斡龌
wǒ       呙我
wō       挝倭涡莴喔窝蜗
wu       五
wú       亡无毋吴吾芜唔梧浯蜈鼯
wù       兀乌勿务戊阢坞杌芴物误恶悟晤焐婺痦骛雾寤鹜鋈
wǔ       五午仵伍妩庑忤怃迕武侮捂牾鹉舞
wū       兀乌圬污邬呜巫於屋诬钨恶
xí       习席袭觋媳褶隰檄
xì       戏忾系饩细郄阋舄隙禊
xǐ       洒洗玺徙铣喜葸屣蓰禧鳃
xī       夕兮汐西吸希昔析矽穸咭茜诶郗唏奚息栖浠牺悉惜欷淅烯硒菥晰犀稀粞翕腊舾溪皙裼锡僖熄熙蜥嘻嬉膝樨歙熹羲螅蟋蹊醯曦鼷
xiá      夹匣侠狎峡柙狭假硖葭遐暇瑕瘕辖霞黠
xià      下吓夏唬厦罅
xiā      呷虾瘕瞎
xián     闲弦贤咸涎娴舷衔痫鹇嫌
xiàn     见县岘苋现线限宪陷馅羡献腺寰霰
xiǎn     彡冼显洗险猃蚬铣筅跣鲜藓燹
xiān     仙先纤氙祆籼莶掀掺跹酰锨鲜暹
xiáng    羊详降庠祥翔
xiàng    向巷相项象像橡蟓
xiǎng    享响饷飨想鲞
xiāng    乡芗相香厢湘缃葙箱襄骧镶
xiáo     姣崤淆
xiào     孝肖俏哮效校笑啸
xiǎo     小晓筱
xiāo     肖枭削哓枵骁宵消绡逍萧硝销蛸潇箫霄魈嚣
xié      叶协邪胁挟偕斜谐颉携鲑勰撷缬鞋
xiè      写泄泻绁卸契屑械亵渫谢解榍榭廨懈獬薤邂燮瀣蟹躞
xiě      写血
xiē      些楔歇蝎
xín      镡
xìn      囟芯信衅
xīn      忄心忻芯辛昕欣莘锌新歆薪馨鑫
xíng     刑行邢饧形陉型荥硎
xìng     兴杏姓幸性荇悻
xǐng     省醒擤
xīng     兴星惺猩腥
xióng    雄熊
xiōng    凶兄匈芎汹胸
xiù      秀岫绣臭袖宿锈嗅溴
xiǔ      朽宿
xiū      休修咻庥羞鸺貅馐髹
xu       蓿
xú       邪徐
xù       休旭序叙恤朐洫畜顼勖绪续酗婿溆絮煦蓄
xǔ       许诩浒栩糈醑
xū       吁圩戌盱砉胥须顼虚嘘需墟
xuán     玄县痃悬旋漩璇
xuàn     券泫炫绚眩铉旋渲楦碹镟
xuǎn     选癣
xuān     轩宣谖喧揎萱暄煊儇
xué      穴学泶踅噱
xuè      血谑
xuě      彐雪鳕
xuē      削靴薛
xún      寻巡旬询郇峋恂洵浔荀荨循鲟潭
xùn      训讯孙汛迅驯徇逊殉浚巽熏蕈
xūn      勋荤埙熏窨獯薰曛醺
ya       呀
yá       牙伢邪岈芽琊蚜崖涯睚衙
yà       轧亚压讶迓垭娅砑氩琊揠碣
yǎ       疋哑痖雅
yā       丫压厌吖呀押哑鸦桠鸭雅
yán      讠延闫严妍芫言阽岩沿炎埏研盐铅阎筵蜒颜檐
yàn      厌咽彦研砚唁宴晏艳验谚堰焰焱雁滟酽谳餍燕赝
yǎn      兖奄俨衍剡偃厣掩眼郾琰罨演魇鼹
yān      奄咽恹殷烟胭崦淹焉菸阉阏湮腌鄢嫣燕
yáng     扬羊阳杨炀佯疡详徉洋烊蛘
yàng     炀怏恙样烊漾鞅
yǎng     仰养氧痒
yāng     央泱殃秧鸯鞅
yáo      爻尧侥肴姚荛轺珧皋陶窑窕铫谣徭摇遥瑶繇鳐
yào      疟药要钥鹞曜耀
yǎo      杳咬窈舀崾
yāo      么幺夭吆约妖要腰徼邀
yé       爷邪耶揶铘
yè       业叶曳页邺夜咽拽射晔烨掖液谒喝揲腋靥
yě       也冶野
yē       耶掖椰噎
yi       翳
yí       义仪圯夷沂诒宜怡迤饴咦姨荑贻眙胰痍移蛇遗颐疑嶷彝
yì       义亿弋刈忆艺仡艾议亦屹异衣佚呓役抑译邑佾峄怿易泄疙绎诣驿奕弈疫羿轶食射悒挹益谊埸翊翌逸嗌意溢缢肄裔瘗蜴毅熠镒劓噫殪薏翳翼臆癔镱懿
yǐ       乙已以钇尾矣苡依迤舣蚁倚酏猗椅蛾旖
yī       一衤伊衣医依咿猗铱壹揖椅漪噫黟
yín      吟圻垠狺寅淫银鄞夤龈霪
yìn      廴印饮茚胤荫隐窨
yǐn      廴尹引吲饮殷蚓隐瘾
yīn      因阴姻洇茵荫音殷氤铟喑堙湮
yíng     迎茔盈荥荧莹萤营萦楹滢蓥潆蝇嬴赢瀛
yìng     应映硬媵
yǐng     郢景颍颖影瘿
yīng     应英莺婴瑛嘤撄缨罂樱璎鹦膺鹰
yīnglǐ   哩
yo       哟
yō       育哟唷
yóng     喁
yòng     用佣
yǒng     永甬咏泳俑勇涌恿蛹踊
yōng     佣拥痈邕庸雍墉慵壅镛臃鳙饔
yóu      尢尤由犹邮油柚疣莜莸铀蚰游鱿猷蝣蝤繇
yòu      又右幼有佑侑囿宥柚诱蚴裒釉鼬
yǒu      友有卣酉莠铕牖黝
yōu      优忧攸呦幽悠
yu       燠
yú       于与予邪余妤欤於盂臾鱼俞禺竽舁娱狳谀馀渔萸隅雩喁嵛愉揄渝腴逾愚榆瑜虞觎窬舆蝓
yù       与肀玉驭吁聿芋吾妪汩谷饫育郁雨俞昱狱禺语峪浴钰预域尉欲菀谕阈喻奥寓御粥裕遇鹆愈煜蓣誉毓蔚蜮熨豫燠鹬鬻
yǔ       与予伛宇屿羽妪雨俣禹语圄圉庾瘐窳龉
yū       吁纡迂於淤菸瘀
yuán     元员园沅芫垣爰原圆袁媛援缘鼋塬源猿辕圜橼螈
yuàn     远苑怨院垸媛掾缘瑗愿
yuǎn     远
yuān     宛鸢冤眢鸳渊箢
yue      悦
yuè      月乐刖兑岳栎说钥悦钺阅跃粤越樾龠瀹
yuě      哕
yuē      曰约
yún      云匀员纭芸昀郧耘筠
yùn      孕员芸运郓恽晕菀酝媪愠韫韵熨蕴
yǔn      允狁陨殒
yūn      晕氲
zá       杂咱砸
zǎ       咋
zā       扎匝咂拶
zài      再在载
zǎi      仔宰载崽
zāi      灾甾哉栽
zan      咱
zán      咱
zàn      堑暂赞錾瓒
zǎn      拶昝攒趱
zān      糌簪
zàng     奘脏葬臧藏
zǎng     驵
zāng     脏赃臧
záo      凿
zào      灶皂唣造噪燥躁
zǎo      早枣蚤澡藻
zāo      遭糟
zé       则咋择泽责迮啧帻笮舴箦赜
zè       仄侧昃
zéi      贼
zèn      谮
zěn      怎
zèng     综锃缯甑赠
zēng     曾增憎缯罾
zhá      扎札轧闸炸铡喋
zhà      乍吒诈咋怍咤柞栅炸痄蚱槎榨蜡
zhǎ      眨砟
zhā      扎吒咋查哳喳揸渣猹楂齄
zhai     瘵
zhái     宅择翟
zhài     责债柴砦祭寨瘵
zhǎi     窄
zhāi     侧哜斋摘
zhan     蘸
zhàn     占战栈站绽湛颤蘸
zhǎn     斩展盏崭搌辗
zhān     占沾毡旃粘詹谵瞻
zhàng    丈仗帐张杖胀账涨障嶂幛瘴
zhǎng    仉长涨掌
zhāng    仉张章鄣嫜彰漳獐樟璋蟑
zháo     着
zhào     召兆诏赵笊棹照罩肇濯
zhǎo     爪找沼
zhāo     钊招昭啁着朝嘲
zhe      着
zhé      乇折哲辄蛰蜇谪摺磔辙
zhè      这柘浙蔗鹧
zhě      者褚锗赭褶
zhē      折蜇遮螫
zhèi     这
zhèn     圳阵鸩振朕赈填镇震
zhěn     诊枕轸畛疹缜稹
zhēn     贞针侦帧浈珍胗桢真砧祯斟椹溱甄蓁榛箴臻
zhèng    正争证怔诤郑挣政症钲铮
zhěng    拯整
zhēng    丁正争征怔诤峥挣政狰症钲睁铮筝蒸徵鲭
zhí      执侄拓直郦值埴职植殖絷跖摭踯
zhì      至志忮识豸制帙帜治炙知织质郅峙栉陟挚桎秩致贽轾掷痔窒鸷彘智滞痣蛭骘稚置雉膣觯踬
zhǐ      夂止只旨址纸芷祉咫指枳轵趾黹酯徵
zhī      之支氏卮只汁芝吱枝知织肢枳栀祗胝脂蜘
zhòng    中仲众种重衷
zhǒng    肿种冢踵
zhōng    夂中忪忠终盅钟舯蚣衷锺螽
zhou     碡
zhóu     妯轴
zhòu     纣咒宙绉昼祝胄荮轴皱酎舳繇骤籀
zhǒu     肘帚
zhōu     州舟诌周洲调啁粥
zhu      主舳
zhú      术竹竺柚烛逐舳筑瘃躅
zhù      主宁伫住助苎杼注贮驻柱炷祝疰庶著蛀甯筑铸箸翥澍
zhǔ      丶主拄柱渚属煮褚嘱麈瞩
zhū      朱侏诛邾洙茱株珠诸猪铢蛛槠潴橥
zhuǎ     爪
zhuā     抓挝
zhuài    拽
zhuǎi    转
zhuāi    拽
zhuàn    传沌转啭巽赚撰篆馔
zhuǎn    转
zhuān    专砖颛
zhuàng   壮状僮幢撞戆
zhuǎng   奘
zhuāng   妆庄桩装
zhuì     坠缀惴缒赘
zhuī     隹追骓揣椎锥
zhǔn     准
zhūn     屯肫窀谆淳
zhuó     灼卓茁斫浊浞诼酌啄着著琢禚箸缴擢濯镯躅
zhuō     拙倬捉桌涿淖棹焯擢
zì       子字自恣渍眦
zǐ       子仔姊秭籽耔茈笫梓紫滓訾
zī       仔吱孜甾兹呲咨姿恣赀资淄缁谘孳嵫滋粢辎觜訾趑锱龇髭鲻
zòng     从纵粽
zǒng     纵总偬
zōng     宗枞综棕腙踪鬃
zòu      奏揍楱
zǒu      走
zōu      邹驺诹陬鄹鲰
zú       足卒族镞
zǔ       诅阻组俎祖
zū       苴租菹
zuàn     钻赚攥
zuǎn     缵纂
zuān     钻躜
zuì      最罪蕞醉
zuǐ      咀觜嘴
zuī      咀羧
zǔn      撙
zūn      尊遵樽鳟
zuó      昨笮琢
zuò      作坐阼怍柞祚胙唑座做酢
zuǒ      左佐撮
zuō      作嘬
        呒姆
g       唔嗯
