a        阿呵啊嗬
bū       峬庯逋钸晡鈽誧錻餔鯆鵏
būn      兺
cà       遪囃
cǎ       礤礸
cā       拆嚓擦攃
cái      才扐材财財裁纔
cài      采宷埰寀菜蔡縩
cǎi      采倸啋埰婇寀彩採棌睬跴綵踩
cāi      偲猜揌
can      儏爘
cán      残蚕惭殘慚摲蝅慙蠶蠺
càn      灿掺孱傪粲嘇摻澯薒燦璨謲鏒
cǎn      惨朁慘憯穇篸黪黲
cān      参參叄飡骖叅喰湌傪飱嬠餐驂囋
cang     濸
cáng     匨臧藏鑶
càng     賶
cāng     仓仺伧沧苍玱鸧倉舱傖凔嵢滄獊蒼瑲篬艙螥鶬
cáo      曺曹傮嘈嶆慒漕蓸槽褿艚螬鏪
cào      肏鄵襙鼜
cǎo      屮艸草愺慅懆騲
cāo      撡操糙
cè       夨冊册侧厕恻拺栅测荝敇畟側厠笧粣萗廁惻測策萴筞筴蓛箣憡簎
cén      岑汵埁梣涔笒
cēn      参參叄叅嵾穇篸
céng     层曽曾層嶒橧竲驓
cèng     蹭
cēng     噌
cha      嗏
chá      叉扠秅苴茌垞查査茬茶捈梌嵖搽猹靫楂槎詧察摖碴檫
chà      叉仛奼扠汊岔杈侘刹衩诧剎咤姹差紁詫
chǎ      叉扠衩紁蹅镲鑔
chā      叉扠扱芆杈差臿挿偛喳嗏插揷馇碴銟锸艖疀嚓鍤鎈餷
chái     犲侪柴祡豺喍儕
chài     差虿袃訍瘥蠆囆
chǎi     茝
chāi     芆肞拆钗差釵
chán     苂单婵崭谗單孱棎湹禅馋嬋煘缠僝嶃嶄獑蝉誗鋋儃廛潹潺緾澶磛禪毚螹鄽瀍繟蟬儳劖繵蟾酁嚵壥巉瀺欃纏纒躔镵艬讒鑱饞
chàn     忏刬剗硟摲幝幨燀懴儳颤懺羼韂顫
chǎn     产刬旵丳斺浐剗谄啴產産铲阐蒇剷摌滻嘽幝蕆諂閳骣燀簅冁繟醦譂鏟闡囅驏灛讇
chān     辿觇梴掺搀覘裧摻緂鋓幨襜攙
chang    场場椙塲蟐
cháng    长仧仩场兏肠苌長镸尝倘偿常徜瓺萇場甞腸嘗塲嫦裳瑺膓償嚐鲿鱨
chàng    怅玚畅倡鬯唱悵焻瑒暢畼誯韔
chǎng    厂场昶惝淌場敞僘厰塲廠氅鋹
chāng    伥昌倀倡娼淐猖菖阊琩裮锠錩閶鲳闛鯧鼚
cháo     牊晁巢巣朝鄛鼌漅嘲樔潮窲罺轈鼂謿
chào     仦仯耖觘
chǎo     吵炒眧粆焣禉煼槱麨巐
chāo     吵抄弨怊欩钞绰訬焯超鈔剿勦摷綽劋樔窼
chè      屮彻呫坼迠烢烲焎聅掣揊硩頙徹摰撤澈勶瞮爡
chě      尺扯偖撦奲
chē      车伡車俥砗唓莗硨蛼
chen     伧烥傖
chén     尘臣忱沈沉辰陈迧茞宸栕梣莀莐陳敐晨桭訦谌軙愖跈鈂煁蔯塵敶樄瘎霃螴諶薼麎曟鷐
chèn     衬爯疢称龀偁趁趂榇稱齓齔儭嚫穪谶櫬襯讖
chěn     趻硶碜墋夦磣踸鍖贂醦
chēn     肜抻郴捵棽琛嗔綝瘨瞋諃賝謓
cheng    鯎
chéng    氶丞成朾呈承枨诚郕乗城娍宬峸洆荿乘埕挰晟浧珹埩掁珵盛窚脭铖堘惩揨棖椉程筬絾裎塍塖溗誠畻酲鋮憕撜澂澄橙檙瀓懲騬
chèng    秤称牚稱竀穪
chěng    侱徎悜逞骋庱惩睈裎騁懲
chēng    朾抢阷净泟柽爯凈棦浾秤称偁淨蛏铛晿牚琤搶碀赪僜憆摚稱靗噌撐撑樘緽橕橖瞠赬頳檉竀罉鎗矃穪蟶鏿鐣饓鐺
chi      麶
chí      弛池驰迟坻沶狋茌迡持竾荎俿歭匙耛菭蚳赿筂貾遅跢遟馳箈箎墀徲漦踟遲篪謘鍉邌鶗鶙
chì      彳叱斥佁杘灻赤饬侙抶勅恜柅炽勑捇眙翄翅敕烾啻湁飭傺痸腟誃鉓雴憏瘈翤遫銐慗慸瘛翨熾懘趩鶒鷘
chǐ      尺叺伬扡呎肔侈卶齿垑奓拸胣恥耻蚇袳豉欼歯袲裭誃鉹褫齒
chī      吃妛哧彨胵蚩鸱瓻眵笞粚喫訵嗤媸摛痴絺樆噄殦瞝誺噭螭鴟鵄癡魑齝攡彲黐
chóng    虫种重崇崈痋隀漴褈緟蝩蟲爞
chòng    冲铳揰銃衝
chǒng    宠埫寵
chōng    充冲忡沖茺浺涌珫翀舂嘃摏徸憃憧衝罿艟蹖
chou     鮘
chóu     仇怞俦诪帱栦惆梼畤紬绸菗椆畴絒愁皗稠筹裯詶酧酬綢踌儔雔嚋嬦幬懤盩薵檮燽雠疇籌譸躊醻讎讐雦
chòu     臭臰遚殠
chǒu     丑丒吜杻杽偢瞅醜矁魗
chōu     抽牰婤掫紬搊跾瘳篘醔犨犫
chu      榋橻璴蟵
chú      処刍处助除芻耝處厨滁蒢豠锄媰耡蒭蜍趎鉏雏犓廚篨鋤橱幮櫉藸躇雛櫥蹰鶵躕
chù      亍処处竌怵泏绌豖欪炪竐俶敊畜埱珿絀菆處傗鄐慉搐滀触閦儊嘼諔憷斶歜臅黜觸矗
chǔ      処处杵础椘處储楮禇楚褚濋儲檚礎齭齼
chū      出岀初摢摴樗貙櫖齣
chuā     欻
chuái    膗
chuài    啜揣欼嘬膪踹
chuǎi    揣
chuāi    揣搋
chuán    传舡舩剶船圌遄傳椯椽歂暷篅膞輲
chuàn    汌串玔钏釧猭賗鶨
chuǎn    舛荈喘堾歂僢踳
chuān    巛川氚穿猭瑏
chuáng   床牀喠噇幢朣橦
chuàng   创怆刱剏剙創愴
